Year,UNIT_MEASURE,SEX,AGE,Value
2016,NUMBER,F,Unknown
2016,NUMBER,F,Total
2016,NUMBER,F,0-14
2016,NUMBER,F,15-29
2016,NUMBER,F,15-49
2016,NUMBER,F,15-64
2016,NUMBER,F,65+
2016,NUMBER,F,75+
2016,NUMBER,F,85+
2016,NUMBER,F,100+
2017,NUMBER,_T,0-4
2017,NUMBER,_T,5-9
2017,NUMBER,_T,10-14
2017,NUMBER,_T,15-19
2017,NUMBER,_T,20-24
2017,NUMBER,_T,25-29
2017,NUMBER,_T,30-34
2017,NUMBER,_T,35-39
2017,NUMBER,_T,40-44
2017,NUMBER,_T,45-49
2017,NUMBER,_T,50-54
2017,NUMBER,_T,55-59
2017,NUMBER,_T,60-64
2017,NUMBER,_T,65-69
2017,NUMBER,_T,70-74
2017,NUMBER,_T,75-79
2017,NUMBER,_T,80-84
2017,NUMBER,_T,85-89
2017,NUMBER,_T,90-94
2017,NUMBER,_T,95-99
2017,NUMBER,_T,100-104
2017,NUMBER,_T,105-109
2017,NUMBER,_T,110-114
2017,NUMBER,_T,115-120
2017,NUMBER,_T,Unknown
2017,NUMBER,_T,Total
2017,NUMBER,_T,0-14
2017,NUMBER,_T,15-29
2017,NUMBER,_T,15-49
2017,NUMBER,_T,15-64
2017,NUMBER,_T,65+
2017,NUMBER,_T,75+
2017,NUMBER,_T,85+
2017,NUMBER,_T,100+
2017,NUMBER,M,0-4
2017,NUMBER,M,5-9
2017,NUMBER,M,10-14
2017,NUMBER,M,15-19
2017,NUMBER,M,20-24
2017,NUMBER,M,25-29
2017,NUMBER,M,30-34
2017,NUMBER,M,35-39
2017,NUMBER,M,40-44
2017,NUMBER,M,45-49
2017,NUMBER,M,50-54
2017,NUMBER,M,55-59
2017,NUMBER,M,60-64
2017,NUMBER,M,65-69
2017,NUMBER,M,70-74
2017,NUMBER,M,75-79
2017,NUMBER,M,80-84
2017,NUMBER,M,85-89
2017,NUMBER,M,90-94
2017,NUMBER,M,95-99
2017,NUMBER,M,100-104
2017,NUMBER,M,105-109
2017,NUMBER,M,110-114
2017,NUMBER,M,115-120
2017,NUMBER,M,Unknown
2017,NUMBER,M,Total
2017,NUMBER,M,0-14
2017,NUMBER,M,15-29
2017,NUMBER,M,15-49
2017,NUMBER,M,15-64
2017,NUMBER,M,65+
2017,NUMBER,M,75+
2017,NUMBER,M,85+
2017,NUMBER,M,100+
2017,NUMBER,F,0-4
2017,NUMBER,F,5-9
2017,NUMBER,F,10-14
2017,NUMBER,F,15-19
2017,NUMBER,F,20-24
2017,NUMBER,F,25-29
2017,NUMBER,F,30-34
2017,NUMBER,F,35-39
2017,NUMBER,F,40-44
2017,NUMBER,F,45-49
2017,NUMBER,F,50-54
2017,NUMBER,F,55-59
2017,NUMBER,F,60-64
2017,NUMBER,F,65-69
2017,NUMBER,F,70-74
2017,NUMBER,F,75-79
2017,NUMBER,F,80-84
2017,NUMBER,F,85-89
2017,NUMBER,F,90-94
2017,NUMBER,F,95-99
2017,NUMBER,F,100-104
2017,NUMBER,F,105-109
2017,NUMBER,F,110-114
2017,NUMBER,F,115-120
2017,NUMBER,F,Unknown
2017,NUMBER,F,Total
2017,NUMBER,F,0-14
2017,NUMBER,F,15-29
2017,NUMBER,F,15-49
2017,NUMBER,F,15-64
2017,NUMBER,F,65+
2017,NUMBER,F,75+
2017,NUMBER,F,85+
2017,NUMBER,F,100+
2018,NUMBER,_T,0-4
2018,NUMBER,_T,5-9
2018,NUMBER,_T,10-14
2018,NUMBER,_T,15-19
2018,NUMBER,_T,20-24
2018,NUMBER,_T,25-29
2018,NUMBER,_T,30-34
2018,NUMBER,_T,35-39
2018,NUMBER,_T,40-44
2018,NUMBER,_T,45-49
2018,NUMBER,_T,50-54
2018,NUMBER,_T,55-59
2018,NUMBER,_T,60-64
2018,NUMBER,_T,65-69
2018,NUMBER,_T,70-74
2018,NUMBER,_T,75-79
2018,NUMBER,_T,80-84
2018,NUMBER,_T,85-89
2018,NUMBER,_T,90-94
2018,NUMBER,_T,95-99
2018,NUMBER,_T,100-104
2018,NUMBER,_T,105-109
2018,NUMBER,_T,110-114
2018,NUMBER,_T,115-120
2018,NUMBER,_T,Unknown
2018,NUMBER,_T,Total
2018,NUMBER,_T,0-14
2018,NUMBER,_T,15-29
2018,NUMBER,_T,15-49
2018,NUMBER,_T,15-64
2018,NUMBER,_T,65+
2018,NUMBER,_T,75+
2018,NUMBER,_T,85+
2018,NUMBER,_T,100+
2018,NUMBER,M,0-4
2018,NUMBER,M,5-9
2018,NUMBER,M,10-14
2018,NUMBER,M,15-19
2018,NUMBER,M,20-24
2018,NUMBER,M,25-29
2018,NUMBER,M,30-34
2018,NUMBER,M,35-39
2018,NUMBER,M,40-44
2018,NUMBER,M,45-49
2018,NUMBER,M,50-54
2018,NUMBER,M,55-59
2018,NUMBER,M,60-64
2018,NUMBER,M,65-69
2018,NUMBER,M,70-74
2018,NUMBER,M,75-79
2018,NUMBER,M,80-84
2018,NUMBER,M,85-89
2018,NUMBER,M,90-94
2018,NUMBER,M,95-99
2018,NUMBER,M,100-104
2018,NUMBER,M,105-109
2018,NUMBER,M,110-114
2018,NUMBER,M,115-120
2018,NUMBER,M,Unknown
2018,NUMBER,M,Total
2018,NUMBER,M,0-14
2018,NUMBER,M,15-29
2018,NUMBER,M,15-49
2018,NUMBER,M,15-64
2018,NUMBER,M,65+
2018,NUMBER,M,75+
2018,NUMBER,M,85+
2018,NUMBER,M,100+
2018,NUMBER,F,0-4
2018,NUMBER,F,5-9
2018,NUMBER,F,10-14
2018,NUMBER,F,15-19
2018,NUMBER,F,20-24
2018,NUMBER,F,25-29
2018,NUMBER,F,30-34
2018,NUMBER,F,35-39
2018,NUMBER,F,40-44
2018,NUMBER,F,45-49
2018,NUMBER,F,50-54
2018,NUMBER,F,55-59
2018,NUMBER,F,60-64
2018,NUMBER,F,65-69
2018,NUMBER,F,70-74
2018,NUMBER,F,75-79
2018,NUMBER,F,80-84
2018,NUMBER,F,85-89
2018,NUMBER,F,90-94
2018,NUMBER,F,95-99
2018,NUMBER,F,100-104
2018,NUMBER,F,105-109
2018,NUMBER,F,110-114
2018,NUMBER,F,115-120
2018,NUMBER,F,Unknown
2018,NUMBER,F,Total
2018,NUMBER,F,0-14
2018,NUMBER,F,15-29
2018,NUMBER,F,15-49
2018,NUMBER,F,15-64
2018,NUMBER,F,65+
2018,NUMBER,F,75+
2018,NUMBER,F,85+
2018,NUMBER,F,100+
2019,NUMBER,_T,0-4
2019,NUMBER,_T,5-9
2019,NUMBER,_T,10-14
2019,NUMBER,_T,15-19
2019,NUMBER,_T,20-24
2019,NUMBER,_T,25-29
2019,NUMBER,_T,30-34
2019,NUMBER,_T,35-39
2019,NUMBER,_T,40-44
2019,NUMBER,_T,45-49
2019,NUMBER,_T,50-54
2019,NUMBER,_T,55-59
2019,NUMBER,_T,60-64
2019,NUMBER,_T,65-69
2019,NUMBER,_T,70-74
2019,NUMBER,_T,75-79
2019,NUMBER,_T,80-84
2019,NUMBER,_T,85-89
2019,NUMBER,_T,90-94
2019,NUMBER,_T,95-99
2019,NUMBER,_T,100-104
2019,NUMBER,_T,105-109
2019,NUMBER,_T,110-114
2019,NUMBER,_T,115-120
2019,NUMBER,_T,Unknown
2019,NUMBER,_T,Total
2019,NUMBER,_T,0-14
2019,NUMBER,_T,15-29
2019,NUMBER,_T,15-49
2019,NUMBER,_T,15-64
2019,NUMBER,_T,65+
2019,NUMBER,_T,75+
2019,NUMBER,_T,85+
2019,NUMBER,_T,100+
2019,NUMBER,M,0-4
2019,NUMBER,M,5-9
2019,NUMBER,M,10-14
2019,NUMBER,M,15-19
2019,NUMBER,M,20-24
2019,NUMBER,M,25-29
2019,NUMBER,M,30-34
2019,NUMBER,M,35-39
2019,NUMBER,M,40-44
2019,NUMBER,M,45-49
2019,NUMBER,M,50-54
2019,NUMBER,M,55-59
2019,NUMBER,M,60-64
2019,NUMBER,M,65-69
2019,NUMBER,M,70-74
2019,NUMBER,M,75-79
2019,NUMBER,M,80-84
2019,NUMBER,M,85-89
2019,NUMBER,M,90-94
2019,NUMBER,M,95-99
2019,NUMBER,M,100-104
2019,NUMBER,M,105-109
2019,NUMBER,M,110-114
2019,NUMBER,M,115-120
2019,NUMBER,M,Unknown
2019,NUMBER,M,Total
2019,NUMBER,M,0-14
2019,NUMBER,M,15-29
2019,NUMBER,M,15-49
2019,NUMBER,M,15-64
2019,NUMBER,M,65+
2019,NUMBER,M,75+
2019,NUMBER,M,85+
2019,NUMBER,M,100+
2019,NUMBER,F,0-4
2019,NUMBER,F,5-9
2019,NUMBER,F,10-14
2019,NUMBER,F,15-19
2019,NUMBER,F,20-24
2019,NUMBER,F,25-29
2019,NUMBER,F,30-34
2019,NUMBER,F,35-39
2019,NUMBER,F,40-44
2019,NUMBER,F,45-49
2019,NUMBER,F,50-54
2019,NUMBER,F,55-59
2019,NUMBER,F,60-64
2019,NUMBER,F,65-69
2019,NUMBER,F,70-74
2019,NUMBER,F,75-79
2019,NUMBER,F,80-84
2019,NUMBER,F,85-89
2019,NUMBER,F,90-94
2019,NUMBER,F,95-99
2019,NUMBER,F,100-104
2019,NUMBER,F,105-109
2019,NUMBER,F,110-114
2019,NUMBER,F,115-120
2019,NUMBER,F,Unknown
2019,NUMBER,F,Total
2019,NUMBER,F,0-14
2019,NUMBER,F,15-29
2019,NUMBER,F,15-49
2019,NUMBER,F,15-64
2019,NUMBER,F,65+
2019,NUMBER,F,75+
2019,NUMBER,F,85+
2019,NUMBER,F,100+
2020,NUMBER,_T,0-4
2020,NUMBER,_T,5-9
2020,NUMBER,_T,10-14
2020,NUMBER,_T,15-19
2020,NUMBER,_T,20-24
2020,NUMBER,_T,25-29
2020,NUMBER,_T,30-34
2020,NUMBER,_T,35-39
2020,NUMBER,_T,40-44
2020,NUMBER,_T,45-49
2020,NUMBER,_T,50-54
2020,NUMBER,_T,55-59
2020,NUMBER,_T,60-64
2020,NUMBER,_T,65-69
2020,NUMBER,_T,70-74
2020,NUMBER,_T,75-79
2020,NUMBER,_T,80-84
2020,NUMBER,_T,85-89
2020,NUMBER,_T,90-94
2020,NUMBER,_T,95-99
2020,NUMBER,_T,100-104
2020,NUMBER,_T,105-109
2020,NUMBER,_T,110-114
2020,NUMBER,_T,115-120
2020,NUMBER,_T,Unknown
2020,NUMBER,_T,Total
2020,NUMBER,_T,0-14
2020,NUMBER,_T,15-29
2020,NUMBER,_T,15-49
2020,NUMBER,_T,15-64
2020,NUMBER,_T,65+
2020,NUMBER,_T,75+
2020,NUMBER,_T,85+
2020,NUMBER,_T,100+
2020,NUMBER,M,0-4
2020,NUMBER,M,5-9
2020,NUMBER,M,10-14
2020,NUMBER,M,15-19
2020,NUMBER,M,20-24
2020,NUMBER,M,25-29
2020,NUMBER,M,30-34
2020,NUMBER,M,35-39
2020,NUMBER,M,40-44
2020,NUMBER,M,45-49
2020,NUMBER,M,50-54
2020,NUMBER,M,55-59
2020,NUMBER,M,60-64
2020,NUMBER,M,65-69
2020,NUMBER,M,70-74
2020,NUMBER,M,75-79
2020,NUMBER,M,80-84
2020,NUMBER,M,85-89
2020,NUMBER,M,90-94
2020,NUMBER,M,95-99
2020,NUMBER,M,100-104
2020,NUMBER,M,105-109
2020,NUMBER,M,110-114
2020,NUMBER,M,115-120
2020,NUMBER,M,Unknown
2020,NUMBER,M,Total
2020,NUMBER,M,0-14
2020,NUMBER,M,15-29
2020,NUMBER,M,15-49
2020,NUMBER,M,15-64
2020,NUMBER,M,65+
2020,NUMBER,M,75+
2020,NUMBER,M,85+
2020,NUMBER,M,100+
2020,NUMBER,F,0-4
2020,NUMBER,F,5-9
2020,NUMBER,F,10-14
2020,NUMBER,F,15-19
2020,NUMBER,F,20-24
2020,NUMBER,F,25-29
2020,NUMBER,F,30-34
2020,NUMBER,F,35-39
2020,NUMBER,F,40-44
2020,NUMBER,F,45-49
2020,NUMBER,F,50-54
2020,NUMBER,F,55-59
2020,NUMBER,F,60-64
2020,NUMBER,F,65-69
2020,NUMBER,F,70-74
2020,NUMBER,F,75-79
2020,NUMBER,F,80-84
2020,NUMBER,F,85-89
2020,NUMBER,F,90-94
2020,NUMBER,F,95-99
2020,NUMBER,F,100-104
2020,NUMBER,F,105-109
2020,NUMBER,F,110-114
2020,NUMBER,F,115-120
2020,NUMBER,F,Unknown
2020,NUMBER,F,Total
2020,NUMBER,F,0-14
2020,NUMBER,F,15-29
2020,NUMBER,F,15-49
2020,NUMBER,F,15-64
2020,NUMBER,F,65+
2020,NUMBER,F,75+
2020,NUMBER,F,85+
2020,NUMBER,F,100+
