Year,UNIT_MEASURE,PYRAMID_SEX,PYRAMID_AGE,Value
2020,2055,M,41913,-26808
2020,2055,M,15-19,-28629
2020,2055,M,20-24,-28207
2020,2055,M,25-29,-27352
2020,2055,M,30-34,-27481
2020,2055,M,35-39,-27344
2020,2055,M,40-44,-29149
2020,2055,M,45-49,-31631
2020,2055,M,50-54,-32684
2020,2055,M,55-59,-42138
2020,2055,M,60-64,-46385
2020,2055,M,65-69,-54045
2020,2055,M,70-74,-54941
2020,2055,M,75-79,-49288
2020,2055,M,80-84,-39539
2020,2055,M,85-89,-27880
2020,2055,M,90-94,-16007
2020,2055,M,95-99,-5805
2020,2055,M,100-104,-1205
2020,2055,M,105-109,-112
2020,2055,M,110-114,-4
2020,2055,M,115-119,0
2020,2055,M,120+,0
2020,2060,M,0-4,-20894
2020,2060,M,44809,-22456
2020,2060,M,41913,-24266
2020,2060,M,15-19,-25850
2020,2060,M,20-24,-25091
2020,2060,M,25-29,-23977
2020,2060,M,30-34,-24290
2020,2060,M,35-39,-25221
2020,2060,M,40-44,-25637
2020,2060,M,45-49,-27771
2020,2060,M,50-54,-30562
2020,2060,M,55-59,-31996
2020,2060,M,60-64,-41222
2020,2060,M,65-69,-44673
2020,2060,M,70-74,-50001
2020,2060,M,75-79,-47916
2020,2060,M,80-84,-39598
2020,2060,M,85-89,-27939
2020,2060,M,90-94,-16191
2020,2060,M,95-99,-6984
2020,2060,M,100-104,-1684
2020,2060,M,105-109,-192
2020,2060,M,110-114,-8
2020,2060,M,115-119,0
2020,2060,M,120+,0
2020,2065,M,0-4,-18768
2020,2065,M,44809,-20311
2020,2065,M,41913,-22012
2020,2065,M,15-19,-23390
2020,2065,M,20-24,-22648
2020,2065,M,25-29,-21338
2020,2065,M,30-34,-21324
2020,2065,M,35-39,-22316
2020,2065,M,40-44,-23592
2020,2065,M,45-49,-24471
2020,2065,M,50-54,-26866
2020,2065,M,55-59,-29898
2020,2065,M,60-64,-31563
2020,2065,M,65-69,-39824
2020,2065,M,70-74,-41589
2020,2065,M,75-79,-43965
2020,2065,M,80-84,-38979
2020,2065,M,85-89,-28510
2020,2065,M,90-94,-16697
2020,2065,M,95-99,-7291
2020,2065,M,100-104,-2091
2020,2065,M,105-109,-277
2020,2065,M,110-114,-13
2020,2065,M,115-119,0
2020,2065,M,120+,0
2020,2070,M,0-4,-16877
2020,2070,M,44809,-18245
2020,2070,M,41913,-19906
2020,2070,M,15-19,-21212
2020,2070,M,20-24,-20488
2020,2070,M,25-29,-19253
2020,2070,M,30-34,-18988
2020,2070,M,35-39,-19621
2020,2070,M,40-44,-20899
2020,2070,M,45-49,-22483
2020,2070,M,50-54,-23721
2020,2070,M,55-59,-26332
2020,2070,M,60-64,-29506
2020,2070,M,65-69,-30759
2020,2070,M,70-74,-37232
2020,2070,M,75-79,-36882
2020,2070,M,80-84,-36182
2020,2070,M,85-89,-28566
2020,2070,M,90-94,-17465
2020,2070,M,95-99,-7786
2020,2070,M,100-104,-2254
2020,2070,M,105-109,-352
2020,2070,M,110-114,-19
2020,2070,M,115-119,0
2020,2070,M,120+,0
2020,2020,F,0-4,44688
2020,2020,F,44809,51327
2020,2020,F,41913,56889
2020,2020,F,15-19,57288
2020,2020,F,20-24,72465
2020,2020,F,25-29,70119
2020,2020,F,30-34,76852
2020,2020,F,35-39,78529
2020,2020,F,40-44,77385
2020,2020,F,45-49,76934
2020,2020,F,50-54,79227
2020,2020,F,55-59,85625
2020,2020,F,60-64,80446
2020,2020,F,65-69,69099
2020,2020,F,70-74,50927
2020,2020,F,75-79,33882
2020,2020,F,80-84,28254
2020,2020,F,85-89,13633
2020,2020,F,90-94,3613
2020,2020,F,95-99,615
2020,2020,F,100-104,71
2020,2020,F,105-109,5
2020,2020,F,110-114,0
2020,2020,F,115-119,0
2020,2020,F,120+,0
2020,2025,F,0-4,42591
2020,2025,F,44809,43876
2020,2025,F,41913,50857
2020,2025,F,15-19,55528
2020,2025,F,20-24,52332
2020,2025,F,25-29,64608
2020,2025,F,30-34,65517
2020,2025,F,35-39,73673
2020,2025,F,40-44,76204
2020,2025,F,45-49,75619
2020,2025,F,50-54,75848
2020,2025,F,55-59,78271
2020,2025,F,60-64,84012
2020,2025,F,65-69,77428
2020,2025,F,70-74,63515
2020,2025,F,75-79,43594
2020,2025,F,80-84,25374
2020,2025,F,85-89,17005
2020,2025,F,90-94,5886
2020,2025,F,95-99,955
2020,2025,F,100-104,88
2020,2025,F,105-109,5
2020,2025,F,110-114,0
2020,2025,F,115-119,0
2020,2025,F,120+,0
2020,2030,F,0-4,37607
2020,2030,F,44809,41727
2020,2030,F,41913,43555
2020,2030,F,15-19,49586
2020,2030,F,20-24,50621
2020,2030,F,25-29,47067
2020,2030,F,30-34,60432
2020,2030,F,35-39,62906
2020,2030,F,40-44,71411
2020,2030,F,45-49,74322
2020,2030,F,50-54,74450
2020,2030,F,55-59,74928
2020,2030,F,60-64,76945
2020,2030,F,65-69,80934
2020,2030,F,70-74,71507
2020,2030,F,75-79,54889
2020,2030,F,80-84,33583
2020,2030,F,85-89,15865
2020,2030,F,90-94,7841
2020,2030,F,95-99,1727
2020,2030,F,100-104,160
2020,2030,F,105-109,7
2020,2030,F,110-114,0
2020,2030,F,115-119,0
2020,2030,F,120+,0
2020,2035,F,0-4,32888
2020,2035,F,44809,36876
2020,2035,F,41913,41340
2020,2035,F,15-19,42572
2020,2035,F,20-24,45138
2020,2035,F,25-29,45377
2020,2035,F,30-34,44340
2020,2035,F,35-39,58038
2020,2035,F,40-44,61093
2020,2035,F,45-49,69621
2020,2035,F,50-54,73096
2020,2035,F,55-59,73506
2020,2035,F,60-64,73733
2020,2035,F,65-69,74371
2020,2035,F,70-74,75087
2020,2035,F,75-79,62399
2020,2035,F,80-84,43024
2020,2035,F,85-89,21975
2020,2035,F,90-94,7691
2020,2035,F,95-99,2503
2020,2035,F,100-104,324
2020,2035,F,105-109,15
2020,2035,F,110-114,0
2020,2035,F,115-119,0
