Year,UNIT_MEASURE,Value
2003,NUMBER,346
2004,NUMBER,353
2005,NUMBER,355
2006,NUMBER,345
2007,NUMBER,355
2008,NUMBER,346
2009,NUMBER,338
2010,NUMBER,345
2011,NUMBER,343
2012,NUMBER,343
2013,NUMBER,343
2014,NUMBER,340
2015,NUMBER,331
2016,NUMBER,334
2017,NUMBER,332
2018,NUMBER,345
2019,NUMBER,307
2020,NUMBER,323
2021,NUMBER,328
2022,NUMBER,304
2023,NUMBER,303
2024,NUMBER,320
