Year,UNIT_MEASURE,Value
2020,NUMBER,41.4
2025,NUMBER,43.6
2030,NUMBER,45.6
2035,NUMBER,47.6
2040,NUMBER,49.4
2045,NUMBER,50.9
2050,NUMBER,52.2
2055,NUMBER,53.2
2060,NUMBER,54.0
2065,NUMBER,54.7
2070,NUMBER,55.2
