Year,UNIT_MEASURE,Value
1997,NO_PER_1000_LIVE_BIRTHS,4.9
1998,NO_PER_1000_LIVE_BIRTHS,4.6
1999,NO_PER_1000_LIVE_BIRTHS,5.5
2000,NO_PER_1000_LIVE_BIRTHS,4.2
2001,NO_PER_1000_LIVE_BIRTHS,4.8
2002,NO_PER_1000_LIVE_BIRTHS,4.2
2003,NO_PER_1000_LIVE_BIRTHS,4.7
2004,NO_PER_1000_LIVE_BIRTHS,5.5
2005,NO_PER_1000_LIVE_BIRTHS,5.0
2006,NO_PER_1000_LIVE_BIRTHS,4.9
2007,NO_PER_1000_LIVE_BIRTHS,6.0
2008,NO_PER_1000_LIVE_BIRTHS,5.6
2009,NO_PER_1000_LIVE_BIRTHS,3.9
2010,NO_PER_1000_LIVE_BIRTHS,3.8
2011,NO_PER_1000_LIVE_BIRTHS,3.6
2012,NO_PER_1000_LIVE_BIRTHS,3.2
2013,NO_PER_1000_LIVE_BIRTHS,3.0
2014,NO_PER_1000_LIVE_BIRTHS,2.7
2015,NO_PER_1000_LIVE_BIRTHS,5.0
2016,NO_PER_1000_LIVE_BIRTHS,4.8
2017,NO_PER_1000_LIVE_BIRTHS,4.2
2018,NO_PER_1000_LIVE_BIRTHS,3.6
2019,NO_PER_1000_LIVE_BIRTHS,3.8
