Year,UNIT_MEASURE,SEX,AGE,Value
2020,NUMBER,_T,_T,2171831
2020,NUMBER,_T,0-4,92546
2020,NUMBER,_T,5-9,105221
2020,NUMBER,_T,10-14,116991
2020,NUMBER,_T,15-19,117679
2020,NUMBER,_T,20-24,147842
2020,NUMBER,_T,25-29,142627
2020,NUMBER,_T,30-34,156873
2020,NUMBER,_T,35-39,159142
2020,NUMBER,_T,40-44,155011
2020,NUMBER,_T,45-49,152185
2020,NUMBER,_T,50-54,156106
2020,NUMBER,_T,55-59,166540
2020,NUMBER,_T,60-64,153750
2020,NUMBER,_T,65-69,128068
2020,NUMBER,_T,70-74,89850
2020,NUMBER,_T,75-79,57089
2020,NUMBER,_T,80-84,46212
2020,NUMBER,_T,85-89,21347
2020,NUMBER,_T,90-94,5641
2020,NUMBER,_T,95-99,979
2020,NUMBER,_T,100-104,123
2020,NUMBER,_T,105-109,8
2020,NUMBER,_T,110-114,0
2020,NUMBER,_T,115-119,0
2020,NUMBER,_T,120+,0
2025,NUMBER,_T,_T,2084413
2025,NUMBER,_T,0-4,87792
2025,NUMBER,_T,5-9,90639
2025,NUMBER,_T,10-14,103885
2025,NUMBER,_T,15-19,113657
2025,NUMBER,_T,20-24,105552
2025,NUMBER,_T,25-29,128261
2025,NUMBER,_T,30-34,129432
2025,NUMBER,_T,35-39,146237
2025,NUMBER,_T,40-44,150833
2025,NUMBER,_T,45-49,148981
2025,NUMBER,_T,50-54,148059
2025,NUMBER,_T,55-59,152539
2025,NUMBER,_T,60-64,161895
2025,NUMBER,_T,65-69,146385
2025,NUMBER,_T,70-74,115790
2025,NUMBER,_T,75-79,74831
2025,NUMBER,_T,80-84,41626
2025,NUMBER,_T,85-89,27167
2025,NUMBER,_T,90-94,9151
2025,NUMBER,_T,95-99,1537
2025,NUMBER,_T,100-104,152
2025,NUMBER,_T,105-109,10
2025,NUMBER,_T,110-114,0
2025,NUMBER,_T,115-119,0
2025,NUMBER,_T,120+,0
2030,NUMBER,_T,_T,1988405
2030,NUMBER,_T,0-4,77510
2030,NUMBER,_T,5-9,85772
2030,NUMBER,_T,10-14,89578
2030,NUMBER,_T,15-19,100762
2030,NUMBER,_T,20-24,101705
2030,NUMBER,_T,25-29,92694
2030,NUMBER,_T,30-34,116667
2030,NUMBER,_T,35-39,121145
2030,NUMBER,_T,40-44,138485
2030,NUMBER,_T,45-49,144590
2030,NUMBER,_T,50-54,144598
2030,NUMBER,_T,55-59,144669
2030,NUMBER,_T,60-64,148636
2030,NUMBER,_T,65-69,154178
2030,NUMBER,_T,70-74,132892
2030,NUMBER,_T,75-79,97404
2030,NUMBER,_T,80-84,56149
2030,NUMBER,_T,85-89,25485
2030,NUMBER,_T,90-94,12440
2030,NUMBER,_T,95-99,2756
2030,NUMBER,_T,100-104,276
2030,NUMBER,_T,105-109,14
2030,NUMBER,_T,110-114,0
2030,NUMBER,_T,115-119,0
2030,NUMBER,_T,120+,0
2035,NUMBER,_T,_T,1882044
2035,NUMBER,_T,0-4,67776
2035,NUMBER,_T,5-9,75753
2035,NUMBER,_T,10-14,84584
2035,NUMBER,_T,15-19,87050
2035,NUMBER,_T,20-24,89936
2035,NUMBER,_T,25-29,88865
2035,NUMBER,_T,30-34,85165
2035,NUMBER,_T,35-39,109355
2035,NUMBER,_T,40-44,115179
2035,NUMBER,_T,45-49,132750
2035,NUMBER,_T,50-54,140153
2035,NUMBER,_T,55-59,141161
2035,NUMBER,_T,60-64,141191
2035,NUMBER,_T,65-69,142145
2035,NUMBER,_T,70-74,140696
