Year,UNIT_MEASURE,Value
1997,boys_to_girls,109.9
1998,boys_to_girls,108.0
1999,boys_to_girls,103.8
2000,boys_to_girls,106.5
2001,boys_to_girls,105.8
2002,boys_to_girls,105.4
2003,boys_to_girls,109.0
2004,boys_to_girls,106.5
2005,boys_to_girls,106.0
2006,boys_to_girls,107.8
2007,boys_to_girls,108.4
2008,boys_to_girls,104.8
2009,boys_to_girls,107.6
2010,boys_to_girls,106.8
2011,boys_to_girls,107.9
2012,boys_to_girls,108.1
2013,boys_to_girls,106.5
2014,boys_to_girls,105.1
2015,boys_to_girls,104.4
2016,boys_to_girls,108.2
2017,boys_to_girls,107.0
2018,boys_to_girls,106.4
2019,boys_to_girls,107.7
2020,boys_to_girls,107.1
