Year,UNIT_MEASURE,Value
1996,number_birth_rate,15.2
1997,number_birth_rate,14.6
1998,number_birth_rate,14.1
1999,number_birth_rate,12.3
2000,number_birth_rate,11
2001,number_birth_rate,10.4
2002,number_birth_rate,10
2003,number_birth_rate,10
2004,number_birth_rate,9.6
2005,number_birth_rate,9.4
2006,number_birth_rate,9.3
2007,number_birth_rate,9.3
2008,number_birth_rate,9.8
2009,number_birth_rate,9.8
2010,number_birth_rate,9.6
2011,number_birth_rate,9.1
2012,number_birth_rate,9.2
2013,number_birth_rate,8.6
2014,number_birth_rate,9
2015,number_birth_rate,8.8
2016,number_birth_rate,8.9
2017,number_birth_rate,9
2018,number_birth_rate,8.6
2019,number_birth_rate,8.2
