Year,UNIT_MEASURE,SEX,Value
1997,NUMBER,_T,445
1998,NUMBER,_T,382
1999,NUMBER,_T,312
2000,NUMBER,_T,280
2001,NUMBER,_T,214
2002,NUMBER,_T,245
2003,NUMBER,_T,202
2004,NUMBER,_T,190
2005,NUMBER,_T,194
2006,NUMBER,_T,205
2007,NUMBER,_T,193
2008,NUMBER,_T,194
2009,NUMBER,_T,173
2010,NUMBER,_T,172
2011,NUMBER,_T,141
2012,NUMBER,_T,139
2013,NUMBER,_T,148
2014,NUMBER,_T,127
2015,NUMBER,_T,154
2016,NUMBER,_T,147
2017,NUMBER,_T,162
2018,NUMBER,_T,158
2019,NUMBER,_T,167
1997,NUMBER,M,276
1998,NUMBER,M,235
1999,NUMBER,M,174
2000,NUMBER,M,163
2001,NUMBER,M,118
2002,NUMBER,M,138
2003,NUMBER,M,122
2004,NUMBER,M,107
2005,NUMBER,M,113
2006,NUMBER,M,127
2007,NUMBER,M,114
2008,NUMBER,M,110
2009,NUMBER,M,87
2010,NUMBER,M,105
2011,NUMBER,M,85
2012,NUMBER,M,85
2013,NUMBER,M,88
2014,NUMBER,M,63
2015,NUMBER,M,84
2016,NUMBER,M,87
2017,NUMBER,M,87
2018,NUMBER,M,81
2019,NUMBER,M,89
1997,NUMBER,F,169
1998,NUMBER,F,147
1999,NUMBER,F,138
2000,NUMBER,F,117
2001,NUMBER,F,96
2002,NUMBER,F,107
2003,NUMBER,F,80
2004,NUMBER,F,83
2005,NUMBER,F,81
2006,NUMBER,F,78
2007,NUMBER,F,79
2008,NUMBER,F,84
2009,NUMBER,F,86
2010,NUMBER,F,67
2011,NUMBER,F,56
2012,NUMBER,F,54
2013,NUMBER,F,60
2014,NUMBER,F,64
2015,NUMBER,F,70
2016,NUMBER,F,60
2017,NUMBER,F,75
2018,NUMBER,F,77
2019,NUMBER,F,78
