Year,UNIT_MEASURE,SEX,Value
2013,NUMBER,_T,35349
2013,NUMBER,_T,34791
2013,NUMBER,_T,40630
2013,NUMBER,_T,43991
2013,NUMBER,_T,43318
2013,NUMBER,_T,35897
2013,NUMBER,_T,31761
2013,NUMBER,_T,32963
2013,NUMBER,_T,32540
2013,NUMBER,_T,31140
2013,NUMBER,M,18022
2013,NUMBER,M,18153
2013,NUMBER,M,20895
2013,NUMBER,M,22589
2013,NUMBER,M,22230
2013,NUMBER,M,18464
2013,NUMBER,M,16307
2013,NUMBER,M,16580
2013,NUMBER,M,16519
2013,NUMBER,M,15982
2013,NUMBER,F,17327
2013,NUMBER,F,16638
2013,NUMBER,F,19735
2013,NUMBER,F,21402
2013,NUMBER,F,21088
2013,NUMBER,F,17433
2013,NUMBER,F,15454
2013,NUMBER,F,16383
2013,NUMBER,F,16021
2013,NUMBER,F,15158
