Year,UNIT_MEASURE,Value
2009,NUMBER,174.96
2010,NUMBER,159.72
2011,NUMBER,217.5
2012,NUMBER,226.17
2013,NUMBER,240.79
2014,NUMBER,239.88
2015,NUMBER,249.0
2016,NUMBER,255.3
2017,NUMBER,267.02
2018,NUMBER,267.27
