Year,UNIT_MEASURE,Sex,Value
2003,NUMBER,_T,346
2004,NUMBER,_T,353
2005,NUMBER,_T,355
2006,NUMBER,_T,345
2007,NUMBER,_T,355
2008,NUMBER,_T,346
2009,NUMBER,_T,338
2010,NUMBER,_T,345
2011,NUMBER,_T,343
2012,NUMBER,_T,343
2013,NUMBER,_T,343
2014,NUMBER,_T,340
2015,NUMBER,_T,331
2016,NUMBER,_T,334
2017,NUMBER,_T,332
2018,NUMBER,_T,345
2019,NUMBER,_T,307
