Year,UNIT_MEASURE,Value
1998,Број,8649
1999,Број,8461
2000,Број,8113
2001,Број,8039
2002,Број,8075
2003,Број,8055
2004,Број,8182
2005,Број,8213
2006,Број,8133
2007,Број,8165
2008,Број,8091
2009,Број,8415
2010,Број,8603
2011,Број,8598
2012,Број,8549
2013,Број,8183
2014,Број,8361
2015,Број,8322
2016,Број,8309
2017,Број,13077
2018,Број,13095
2019,Број,12885
