Year,UNIT_MEASURE,SEX,Value
2011,NUMBER,_T,2030
2012,NUMBER,_T,2633
2013,NUMBER,_T,3380
2014,NUMBER,_T,3366
2015,NUMBER,_T,3636
2016,NUMBER,_T,3836
2017,NUMBER,_T,3712
2018,NUMBER,_T,3336
2019,NUMBER,_T,3388
2020,NUMBER,_T,3158
2011,NUMBER,M,834
2012,NUMBER,M,1090
2013,NUMBER,M,1385
2014,NUMBER,M,1330
2015,NUMBER,M,1468
2016,NUMBER,M,1497
2017,NUMBER,M,1426
2018,NUMBER,M,1284
2019,NUMBER,M,1268
2020,NUMBER,M,1118
2011,NUMBER,F,1196
2012,NUMBER,F,1543
2013,NUMBER,F,1995
2014,NUMBER,F,2036
2015,NUMBER,F,2168
2016,NUMBER,F,2339
2017,NUMBER,F,2286
2018,NUMBER,F,2052
2019,NUMBER,F,2120
2020,NUMBER,F,2040
