Year,UNIT_MEASURE,Пол,Value
2011,Број,Оба пола,24605
2012,Број,Оба пола,24227
2013,Број,Оба пола,24476
2014,Број,Оба пола,24106
2015,Број,Оба пола,23515
2016,Број,Оба пола,23824
2017,Број,Оба пола,23978
2018,Број,Оба пола,24175
2019,Број,Оба пола,24361
2020,Број,Оба пола,24548
2011,Број,M,7459
2012,Број,M,7177
2013,Број,M,7161
2014,Број,M,6971
2015,Број,M,6737
2016,Број,M,6779
2017,Број,M,6725
2018,Број,M,6648
2019,Број,M,6548
2020,Број,M,6530
2011,Број,Ж,17146
2012,Број,Ж,17050
2013,Број,Ж,17315
2014,Број,Ж,17135
2015,Број,Ж,16778
2016,Број,Ж,17045
2017,Број,Ж,17253
2018,Број,Ж,17527
2019,Број,Ж,17813
2020,Број,Ж,18018
