Year,UNIT_MEASURE,SEX,Value
2011,NUMBER,_T,316657
2012,NUMBER,_T,304881
2013,NUMBER,_T,302133
2014,NUMBER,_T,296819
2015,NUMBER,_T,291342
2016,NUMBER,_T,287729
2017,NUMBER,_T,282946
2018,NUMBER,_T,280018
2019,NUMBER,_T,274034
2020,NUMBER,_T,268059
2021,NUMBER,_T,264802
2011,NUMBER,M,162596
2012,NUMBER,M,156296
2013,NUMBER,M,154895
2014,NUMBER,M,152363
2015,NUMBER,M,149888
2016,NUMBER,M,148250
2017,NUMBER,M,145441
2018,NUMBER,M,143837
2019,NUMBER,M,140792
2020,NUMBER,M,137540
2021,NUMBER,M,136347
2011,NUMBER,F,154061
2012,NUMBER,F,148585
2013,NUMBER,F,147238
2014,NUMBER,F,144456
2015,NUMBER,F,141454
2016,NUMBER,F,139479
2017,NUMBER,F,137505
2018,NUMBER,F,136181
2019,NUMBER,F,133242
2020,NUMBER,F,130519
2021,NUMBER,F,128455
