Year,UNIT_MEASURE,Spol,Value
2014,Broj,Oba spola,9108
2015,Broj,Oba spola,8069
2016,Broj,Oba spola,8809
2017,Broj,Oba spola,8561
2018,Broj,Oba spola,8921
2019,Broj,Oba spola,9155
2020,Broj,Oba spola,9262
2021,Broj,Oba spola,9178
2022,Broj,Oba spola,9459
2023,Broj,Oba spola,9355
2024,Broj,Oba spola,10300
2014,Broj,M,2923
2015,Broj,M,2483
2016,Broj,M,2726
2017,Broj,M,2628
2018,Broj,M,2703
2019,Broj,M,2703
2020,Broj,M,2489
2021,Broj,M,2429
2022,Broj,M,2470
2023,Broj,M,2408
2024,Broj,M,2711
2014,Broj,Ž,6185
2015,Broj,Ž,5586
2016,Broj,Ž,6083
2017,Broj,Ž,5933
2018,Broj,Ž,6218
2019,Broj,Ž,6452
2020,Broj,Ž,6633
2021,Broj,Ž,6749
2022,Broj,Ž,6989
2023,Broj,Ž,6947
2024,Broj,Ž,7589
