Year,UNIT_MEASURE,SEX,Value
2011,NUMBER,_T,35349
2012,NUMBER,_T,34791
2013,NUMBER,_T,40630
2014,NUMBER,_T,43991
2015,NUMBER,_T,43318
2016,NUMBER,_T,35897
2017,NUMBER,_T,31761
2018,NUMBER,_T,32963
2019,NUMBER,_T,32540
2020,NUMBER,_T,31140
2011,NUMBER,M,18022
2012,NUMBER,M,18153
2013,NUMBER,M,20895
2014,NUMBER,M,22589
2015,NUMBER,M,22230
2016,NUMBER,M,18464
2017,NUMBER,M,16307
2018,NUMBER,M,16580
2019,NUMBER,M,16519
2020,NUMBER,M,15982
2011,NUMBER,F,17327
2012,NUMBER,F,16638
2013,NUMBER,F,19735
2014,NUMBER,F,21402
2015,NUMBER,F,21088
2016,NUMBER,F,17433
2017,NUMBER,F,15454
2018,NUMBER,F,16383
2019,NUMBER,F,16021
2020,NUMBER,F,15158
