Year,UNIT_MEASURE,Value
1999,NUMBER,16898
2000,NUMBER,16763
2001,NUMBER,16512
2002,NUMBER,16791
2003,NUMBER,16958
2004,NUMBER,16894
2005,NUMBER,17082
2006,NUMBER,17380
2007,NUMBER,17708
2008,NUMBER,18269
2009,NUMBER,18595
2010,NUMBER,19102
2011,NUMBER,19305
2012,NUMBER,19980
2013,NUMBER,19754
2014,NUMBER,20239
2015,NUMBER,20102
2016,NUMBER,20309
2017,NUMBER,19891
2018,NUMBER,20276
2019,NUMBER,20432
