Year,UNIT_MEASURE,Value
1998,NUMBER,8649
1999,NUMBER,8461
2000,NUMBER,8113
2001,NUMBER,8039
2002,NUMBER,8075
2003,NUMBER,8055
2004,NUMBER,8182
2005,NUMBER,8213
2006,NUMBER,8133
2007,NUMBER,8165
2008,NUMBER,8091
2009,NUMBER,8415
2010,NUMBER,8603
2011,NUMBER,8598
2012,NUMBER,8549
2013,NUMBER,8183
2014,NUMBER,8361
2015,NUMBER,8322
2016,NUMBER,8309
2017,NUMBER,13077
2018,NUMBER,13095
2019,NUMBER,12885
