Year,UNIT_MEASURE,SEX,Value
2011,NUMBER,_T,12773
2012,NUMBER,_T,13043
2013,NUMBER,_T,13037
2014,NUMBER,_T,12774
2015,NUMBER,_T,12859
2016,NUMBER,_T,12652
2017,NUMBER,_T,12591
2018,NUMBER,_T,12551
2019,NUMBER,_T,12716
2020,NUMBER,_T,12735
2021,NUMBER,_T,12840
2023,NUMBER,_T,12728
2011,NUMBER,M,5413
2012,NUMBER,M,5404
2013,NUMBER,M,5350
2014,NUMBER,M,5172
2015,NUMBER,M,5163
2016,NUMBER,M,4999
2017,NUMBER,M,4870
2018,NUMBER,M,4815
2019,NUMBER,M,4888
2020,NUMBER,M,4814
2021,NUMBER,M,4857
2022,NUMBER,M,4826
2023,NUMBER,M,4702
2011,NUMBER,F,7360
2012,NUMBER,F,7639
2013,NUMBER,F,7687
2014,NUMBER,F,7602
2015,NUMBER,F,7696
2016,NUMBER,F,7653
2017,NUMBER,F,7721
2018,NUMBER,F,7736
2019,NUMBER,F,7828
2020,NUMBER,F,7921
2021,NUMBER,F,7983
2022,NUMBER,F,8242
2023,NUMBER,F,8026
