Year,UNIT_MEASURE,Value
2009,NUMBER,54.36
2010,NUMBER,43.75
2011,NUMBER,43.54
2012,NUMBER,44.63
2013,NUMBER,40.99
2014,NUMBER,37.5
2015,NUMBER,49.69
