Year,Quarter,UNIT_MEASURE,SEX,AGE,Value
2021,Q1,%,_T,15 - 89,38.4
2021,Q1,%,_T,15 - 24,19.5
2021,Q1,%,_T,25 - 49,62.0
2021,Q1,%,_T,50 - 64,38.7
2021,Q1,%,_T,65+,3.4
2021,Q1,%,_T,15 - 64,47.2
2021,Q1,%,_T,20 - 64,50.9
2021,Q1,%,_T,25 - 34,58.1
2021,Q1,%,_T,15 - 74,41.3
2021,Q1,%,_T,65 - 74,4.3
2021,Q1,%,M,15 - 89,50.0
2021,Q1,%,M,15 - 24,25.7
2021,Q1,%,M,25 - 49,76.0
2021,Q1,%,M,50 - 64,52.1
2021,Q1,%,M,65+,4.6
2021,Q1,%,M,15 - 64,59.7
2021,Q1,%,M,20 - 64,64.4
2021,Q1,%,M,25 - 34,72.1
2021,Q1,%,M,15 - 74,52.9
2021,Q1,%,M,65 - 74,5.3
2021,Q1,%,F,15 - 89,27.3
2021,Q1,%,F,15 - 24,13.0
2021,Q1,%,F,25 - 49,47.4
2021,Q1,%,F,50 - 64,26.0
2021,Q1,%,F,65+,2.5
2021,Q1,%,F,15 - 64,34.5
2021,Q1,%,F,20 - 64,37.2
2021,Q1,%,F,25 - 34,43.2
2021,Q1,%,F,15 - 74,29.8
2021,Q1,%,F,65 - 74,3.4
2021,Q2,%,_T,15 - 89,39.1
2021,Q2,%,_T,15 - 24,19.2
2021,Q2,%,_T,25 - 49,62.6
2021,Q2,%,_T,50 - 64,40.2
2021,Q2,%,_T,65+,4.1
2021,Q2,%,_T,15 - 64,47.9
2021,Q2,%,_T,20 - 64,51.7
2021,Q2,%,_T,25 - 34,58.1
2021,Q2,%,_T,15 - 74,42.1
2021,Q2,%,_T,65 - 74,5.3
2021,Q2,%,M,15 - 89,50.2
2021,Q2,%,M,15 - 24,25.1
2021,Q2,%,M,25 - 49,75.9
2021,Q2,%,M,50 - 64,52.9
2021,Q2,%,M,65+,5.3
2021,Q2,%,M,15 - 64,59.8
2021,Q2,%,M,20 - 64,64.7
2021,Q2,%,M,25 - 34,70.7
2021,Q2,%,M,15 - 74,53.2
2021,Q2,%,M,65 - 74,6.5
2021,Q2,%,F,15 - 89,28.6
2021,Q2,%,F,15 - 24,13.0
2021,Q2,%,F,25 - 49,48.7
2021,Q2,%,F,50 - 64,28.2
2021,Q2,%,F,65+,3.2
2021,Q2,%,F,15 - 64,35.9
2021,Q2,%,F,20 - 64,38.7
2021,Q2,%,F,25 - 34,44.6
2021,Q2,%,F,15 - 74,31.1
2021,Q2,%,F,65 - 74,4.3
2021,Q3,%,_T,15 - 89,40.4
2021,Q3,%,_T,15 - 24,19.8
2021,Q3,%,_T,25 - 49,64.2
2021,Q3,%,_T,50 - 64,42.7
2021,Q3,%,_T,65+,3.4
2021,Q3,%,_T,15 - 64,49.7
2021,Q3,%,_T,20 - 64,53.6
2021,Q3,%,_T,25 - 34,61.1
2021,Q3,%,_T,15 - 74,43.4
2021,Q3,%,_T,65 - 74,4.3
2021,Q3,%,M,15 - 89,52.1
2021,Q3,%,M,15 - 24,25.8
2021,Q3,%,M,25 - 49,77.9
2021,Q3,%,M,50 - 64,57.1
2021,Q3,%,M,65+,4.4
2021,Q3,%,M,15 - 64,62.3
2021,Q3,%,M,20 - 64,67.3
2021,Q3,%,M,25 - 34,73.3
2021,Q3,%,M,15 - 74,55.2
2021,Q3,%,M,65 - 74,5.7
2021,Q3,%,F,15 - 89,29.2
2021,Q3,%,F,15 - 24,13.4
2021,Q3,%,F,25 - 49,50.0
2021,Q3,%,F,50 - 64,29.1
2021,Q3,%,F,65+,2.6
2021,Q3,%,F,15 - 64,37.0
2021,Q3,%,F,20 - 64,39.8
2021,Q3,%,F,25 - 34,48.1
2021,Q3,%,F,15 - 74,31.9
2021,Q3,%,F,65 - 74,3.2
2021,Q4,%,_T,15 - 89,40.6
2021,Q4,%,_T,15 - 24,20.4
2021,Q4,%,_T,25 - 49,65.0
2021,Q4,%,_T,50 - 64,42.7
2021,Q4,%,_T,65+,2.6
