Year,Value,UNIT_MEASURE
2009,174.96,NUMBER
2010,159.72,NUMBER
2011,217.5,NUMBER
2012,226.17,NUMBER
2013,240.79,NUMBER
2014,239.88,NUMBER
2015,249.0,NUMBER
2016,255.3,NUMBER
2017,267.02,NUMBER
2018,267.27,NUMBER
