Year,Value,UNIT_MEASURE
2003,346,NUMBER
2004,353,NUMBER
2005,355,NUMBER
2006,345,NUMBER
2007,355,NUMBER
2008,346,NUMBER
2009,338,NUMBER
2010,345,NUMBER
2011,343,NUMBER
2012,343,NUMBER
2013,343,NUMBER
2014,340,NUMBER
2015,331,NUMBER
2016,334,NUMBER
2017,332,NUMBER
2018,345,NUMBER
2019,307,NUMBER
