Year,Value,UNIT_MEASURE
1998,237,NUMBER
1999,226,NUMBER
2000,215,NUMBER
2001,214,NUMBER
2002,212,NUMBER
2003,211,NUMBER
2004,209,NUMBER
2005,210,NUMBER
2006,216,NUMBER
2007,217,NUMBER
2008,211,NUMBER
2009,219,NUMBER
2010,224,NUMBER
2011,224,NUMBER
2012,223,NUMBER
2013,213,NUMBER
2014,219,NUMBER
2015,218,NUMBER
2016,241,NUMBER
2017,380,NUMBER
2018,382,NUMBER
2019,377,NUMBER
