Year,Value,UNIT_MEASURE
2007,1189,NUMBER
2008,1215,NUMBER
2009,1241,NUMBER
2010,1229,NUMBER
2011,1229,NUMBER
2012,1261,NUMBER
2013,1149,NUMBER
2014,1113,NUMBER
2015,1091,NUMBER
2016,1099,NUMBER
2017,1056,NUMBER
2018,1068,NUMBER
2019,1062,NUMBER
