Year,Value,UNIT_MEASURE
1971,9.4,number_per_1000
1981,8.9,number_per_1000
1991,6.5,number_per_1000
1996,5.8,number_per_1000
1997,6.2,number_per_1000
1998,6.1,number_per_1000
1999,6.0,number_per_1000
2000,5.8,number_per_1000
2001,5.3,number_per_1000
2002,5.3,number_per_1000
2003,5.4,number_per_1000
2004,5.8,number_per_1000
2005,5.6,number_per_1000
2006,5.6,number_per_1000
2007,6.12,number_per_1000
2008,5.77,number_per_1000
2009,5.37,number_per_1000
2010,5.08,number_per_1000
2011,4.99,number_per_1000
2012,4.75,number_per_1000
2013,5.0,number_per_1000
2014,5.3,number_per_1000
2015,5.6,number_per_1000
2016,5.5,number_per_1000
2017,5.7,number_per_1000
2018,5.7,number_per_1000
2019,5.4,number_per_1000
