Year,Value,UNIT_MEASURE
2009,20.94,NUMBER
2010,17.2,NUMBER
2011,20.57,NUMBER
2012,15.11,NUMBER
2013,17.98,NUMBER
2014,14.13,NUMBER
2015,17.61,NUMBER
