Year,Value,UNIT_MEASURE
1971,6.6,number_per_1000
1972,7.0,number_per_1000
1973,6.4,number_per_1000
1974,6.0,number_per_1000
1975,6.4,number_per_1000
1976,6.2,number_per_1000
1977,6.1,number_per_1000
1978,6.3,number_per_1000
1979,6.1,number_per_1000
1980,6.4,number_per_1000
1981,6.3,number_per_1000
1982,6.4,number_per_1000
1983,7.2,number_per_1000
1984,6.9,number_per_1000
1985,6.9,number_per_1000
1986,6.9,number_per_1000
1987,6.9,number_per_1000
1988,6.9,number_per_1000
1989,7.0,number_per_1000
1990,6.7,number_per_1000
1991,7.2,number_per_1000
1996,6.9,number_per_1000
1997,7.5,number_per_1000
1998,7.9,number_per_1000
1999,7.7,number_per_1000
2000,8.1,number_per_1000
2001,8.0,number_per_1000
2002,7.9,number_per_1000
2003,8.3,number_per_1000
2004,8.5,number_per_1000
2005,9.0,number_per_1000
2006,8.6,number_per_1000
2007,9.1,number_per_1000
2008,8.9,number_per_1000
2009,9.1,number_per_1000
2010,9.1,number_per_1000
2011,9.1,number_per_1000
2012,9.3,number_per_1000
2013,10.1,number_per_1000
2014,10.2,number_per_1000
2015,10.8,number_per_1000
2016,10.4,number_per_1000
2017,10.8,number_per_1000
2018,10.8,number_per_1000
2019,11.1,number_per_1000
