Year,Value,UNIT_MEASURE
1998,8649,NUMBER
1999,8461,NUMBER
2000,8113,NUMBER
2001,8039,NUMBER
2002,8075,NUMBER
2003,8055,NUMBER
2004,8182,NUMBER
2005,8213,NUMBER
2006,8133,NUMBER
2007,8165,NUMBER
2008,8091,NUMBER
2009,8415,NUMBER
2010,8603,NUMBER
2011,8598,NUMBER
2012,8549,NUMBER
2013,8183,NUMBER
2014,8361,NUMBER
2015,8322,NUMBER
2016,8309,NUMBER
2017,13077,NUMBER
2018,13095,NUMBER
2019,12885,NUMBER
