Year,Value,UNIT_MEASURE
2020,8.6,number_per_1000
2025,7.9,number_per_1000
2030,7.3,number_per_1000
2035,6.6,number_per_1000
2040,6.6,number_per_1000
2045,6.5,number_per_1000
2050,6.4,number_per_1000
2055,6.3,number_per_1000
2060,6.2,number_per_1000
2065,6.1,number_per_1000
2070,6.1,number_per_1000
