Year,Value,UNIT_MEASURE
2009,6045,NUMBER
2010,5355,NUMBER
2011,6919,NUMBER
2012,7361,NUMBER
2013,7219,NUMBER
2014,7215,NUMBER
2015,7256,NUMBER
2016,7487,NUMBER
2017,7988,NUMBER
2018,7817,NUMBER
