Year,Value,UNIT_MEASURE
2009,54.36,NUMBER
2010,43.75,NUMBER
2011,43.54,NUMBER
2012,44.63,NUMBER
2013,40.99,NUMBER
2014,37.5,NUMBER
2015,49.69,NUMBER
