Year,UNIT_MEASURE,Пол,Value
2011,Број,Оба пола,298
2012,Број,Оба пола,325
2013,Број,Оба пола,611
2014,Број,Оба пола,791
2015,Број,Оба пола,825
2016,Број,Оба пола,859
2017,Број,Оба пола,874
2018,Број,Оба пола,826
2019,Број,Оба пола,1128
2020,Број,Оба пола,1003
2011,Број,M,82
2012,Број,M,100
2013,Број,M,181
2014,Број,M,247
2015,Број,M,218
2016,Број,M,234
2017,Број,M,273
2018,Број,M,249
2019,Број,M,398
2020,Број,M,346
2011,Број,Ж,216
2012,Број,Ж,225
2013,Број,Ж,430
2014,Број,Ж,544
2015,Број,Ж,607
2016,Број,Ж,625
2017,Број,Ж,601
2018,Број,Ж,577
2019,Број,Ж,730
2020,Број,Ж,657
