Year,UNIT_MEASURE,Пол,Value
2011,Број,Оба пола,2030
2012,Број,Оба пола,2633
2013,Број,Оба пола,3380
2014,Број,Оба пола,3366
2015,Број,Оба пола,3636
2016,Број,Оба пола,3836
2017,Број,Оба пола,3712
2018,Број,Оба пола,3336
2019,Број,Оба пола,3388
2020,Број,Оба пола,3158
2011,Број,M,834
2012,Број,M,1090
2013,Број,M,1385
2014,Број,M,1330
2015,Број,M,1468
2016,Број,M,1497
2017,Број,M,1426
2018,Број,M,1284
2019,Број,M,1268
2020,Број,M,1118
2011,Број,Ж,1196
2012,Број,Ж,1543
2013,Број,Ж,1995
2014,Број,Ж,2036
2015,Број,Ж,2168
2016,Број,Ж,2339
2017,Број,Ж,2286
2018,Број,Ж,2052
2019,Број,Ж,2120
2020,Број,Ж,2040
