Year,UNIT_MEASURE,Пол,Value
2011,Број,Оба пола,163284
2012,Број,Оба пола,166662
2013,Број,Оба пола,156350
2014,Број,Оба пола,143881
2015,Број,Оба пола,133228
2016,Број,Оба пола,126824
2017,Број,Оба пола,124148
2018,Број,Оба пола,117475
2019,Број,Оба пола,112796
2020,Број,Оба пола,110404
2021,Број,Оба пола,108257
2022,Број,Оба пола,107936
2023,Број,Оба пола,107740
2024,Број,Оба пола,108057
2011,Број,M,82745
2012,Број,M,84420
2013,Број,M,78882
2014,Број,M,72095
2015,Број,M,66708
2016,Број,M,63232
2017,Број,M,61934
2018,Број,M,58821
2019,Број,M,56328
2020,Број,M,55068
2021,Број,M,53916
2022,Број,M,53454
2023,Број,M,53437
2024,Број,M,53560
2011,Број,Ж,80539
2012,Број,Ж,82242
2013,Број,Ж,77468
2014,Број,Ж,71786
2015,Број,Ж,66520
2016,Број,Ж,63592
2017,Број,Ж,62214
2018,Број,Ж,58654
2019,Број,Ж,56468
2020,Број,Ж,55336
2021,Број,Ж,54341
2022,Број,Ж,54482
2023,Број,Ж,54303
2024,Број,Ж,54497
