Year,UNIT_MEASURE,Пол,Value
2011,Број,Оба пола,17293
2012,Број,Оба пола,18817
2013,Број,Оба пола,19880
2014,Број,Оба пола,21490
2015,Број,Оба пола,22901
2016,Број,Оба пола,24918
2017,Број,Оба пола,25889
2018,Број,Оба пола,28511
2019,Број,Оба пола,30587
2020,Број,Оба пола,27698
2021,Број,Оба пола,33200
2022,Број,Оба пола,38762
2011,Број,M,9082
2012,Број,M,9859
2013,Број,M,10497
2014,Број,M,11200
2015,Број,M,11918
2016,Број,M,13086
2017,Број,M,13436
2018,Број,M,14855
2019,Број,M,15857
2020,Број,M,14477
2021,Број,M,17259
2022,Број,M,20504
2011,Број,Ж,8211
2012,Број,Ж,8958
2013,Број,Ж,9383
2014,Број,Ж,10290
2015,Број,Ж,10983
2016,Број,Ж,11832
2017,Број,Ж,12453
2018,Број,Ж,13656
2019,Број,Ж,14730
2020,Број,Ж,13221
2021,Број,Ж,15941
2022,Број,Ж,18258
