Year,UNIT_MEASURE,Value
1999,Број,16898
2000,Број,16763
2001,Број,16512
2002,Број,16791
2003,Број,16958
2004,Број,16894
2005,Број,17082
2006,Број,17380
2007,Број,17708
2008,Број,18269
2009,Број,18595
2010,Број,19102
2011,Број,19305
2012,Број,19980
2013,Број,19754
2014,Број,20239
2015,Број,20102
2016,Број,20309
2017,Број,19891
2018,Број,20276
2019,Број,20432
