Year,UNIT_MEASURE,Value
2007,Број,1189
2008,Број,1215
2009,Број,1241
2010,Број,1229
2011,Број,1229
2012,Број,1261
2013,Број,1149
2014,Број,1113
2015,Број,1091
2016,Број,1099
2017,Број,1056
2018,Број,1068
2019,Број,1062
