Year,UNIT_MEASURE,Пол,Value
2011,Број,Оба пола,12773
2012,Број,Оба пола,13043
2013,Број,Оба пола,13037
2014,Број,Оба пола,12774
2015,Број,Оба пола,12859
2016,Број,Оба пола,12652
2017,Број,Оба пола,12591
2018,Број,Оба пола,12551
2019,Број,Оба пола,12716
2020,Број,Оба пола,12735
2021,Број,Оба пола,12840
2022,Број,Оба пола,13068
2023,Број,Оба пола,12728
2011,Број,M,5413
2012,Број,M,5404
2013,Број,M,5350
2014,Број,M,5172
2015,Број,M,5163
2016,Број,M,4999
2017,Број,M,4870
2018,Број,M,4815
2019,Број,M,4888
2020,Број,M,4814
2021,Број,M,4857
2022,Број,M,4826
2023,Број,M,4702
2011,Број,Ж,7360
2012,Број,Ж,7639
2013,Број,Ж,7687
2014,Број,Ж,7602
2015,Број,Ж,7696
2016,Број,Ж,7653
2017,Број,Ж,7721
2018,Број,Ж,7736
2019,Број,Ж,7828
2020,Број,Ж,7921
2021,Број,Ж,7983
2022,Број,Ж,8242
2023,Број,Ж,8026
