Year,UNIT_MEASURE,Пол,Value
2011,Број,Оба пола,1238
2012,Број,Оба пола,1301
2013,Број,Оба пола,1388
2014,Број,Оба пола,1515
2015,Број,Оба пола,1667
2016,Број,Оба пола,1793
2017,Број,Оба пола,1898
2018,Број,Оба пола,2131
2019,Број,Оба пола,2384
2020,Број,Оба пола,2519
2021,Број,Оба пола,2889
2022,Број,Оба пола,3213
2023,Број,Оба пола,3475
2011,Број,M,22
2012,Број,M,17
2013,Број,M,22
2014,Број,M,23
2015,Број,M,22
2016,Број,M,24
2017,Број,M,28
2018,Број,M,29
2019,Број,M,31
2020,Број,M,27
2021,Број,M,48
2022,Број,M,35
2023,Број,M,108
2011,Број,Ж,1216
2012,Број,Ж,1284
2013,Број,Ж,1366
2014,Број,Ж,1492
2015,Број,Ж,1645
2016,Број,Ж,1769
2017,Број,Ж,1870
2018,Број,Ж,2102
2019,Број,Ж,2353
2020,Број,Ж,2492
2021,Број,Ж,2841
2022,Број,Ж,3178
2023,Број,Ж,3367
