Year,UNIT_MEASURE,Пол,Value
1960,Старосна доб,M,58.62
1970,Старосна доб,M,63.78
1981,Старосна доб,M,68.2
1988,Старосна доб,M,69.2
2013,Старосна доб,M,73.88
2015,Старосна доб,M,73.7
2018,Старосна доб,M,74.3
2020,Старосна доб,M,74.7
2022,Старосна доб,M,73.1
2024,Старосна доб,M,74.06
1960,Старосна доб,Ж,61.46
1970,Старосна доб,Ж,68.41
1981,Старосна доб,Ж,73.5
1988,Старосна доб,Ж,74.6
2013,Старосна доб,Ж,78.88
2015,Старосна доб,Ж,78.8
2018,Старосна доб,Ж,79.0
2020,Старосна доб,Ж,79.7
2022,Старосна доб,Ж,77.5
2024,Старосна доб,Ж,81.01
