Year,UNIT_MEASURE,Value
2009,Број,174.96
2010,Број,159.72
2011,Број,217.5
2012,Број,226.17
2013,Број,240.79
2014,Број,239.88
2015,Број,249.0
2016,Број,255.3
2017,Број,267.02
2018,Број,267.27
