Year,Quarterly,UNIT_MEASURE,Пол,Старосна доб,Value
2022,I квартал,%,M,25 - 34,86.0
2022,I квартал,%,M,15 - 74,63.0
2022,I квартал,%,M,65 - 74,6.0
2022,I квартал,%,Ж,15 - 89,37.0
2022,I квартал,%,Ж,15 - 24,23.0
2022,I квартал,%,Ж,25 - 49,66.0
2022,I квартал,%,Ж,50 - 64,33.0
2022,I квартал,%,Ж,65+,2.0
2022,I квартал,%,Ж,15 - 64,48.0
2022,I квартал,%,Ж,20 - 64,51.0
2022,I квартал,%,Ж,25 - 34,65.0
2022,I квартал,%,Ж,15 - 74,41.0
2022,I квартал,%,Ж,65 - 74,2.0
