Year,UNIT_MEASURE,Пол,Value
2003,Број,Оба пола,5559
2004,Број,Оба пола,5680
2005,Број,Оба пола,5773
2006,Број,Оба пола,5932
2007,Број,Оба пола,6182
2008,Број,Оба пола,6275
2009,Број,Оба пола,6493
2010,Број,Оба пола,6665
2011,Број,Оба пола,6881
2012,Број,Оба пола,7026
2013,Број,Оба пола,7211
2014,Број,Оба пола,7272
2015,Број,Оба пола,7413
2016,Број,Оба пола,7453
2017,Број,Оба пола,7415
2018,Број,Оба пола,7599
2019,Број,Оба пола,7791
2003,Број,M,2453
2004,Број,M,2463
2005,Број,M,2458
2006,Број,M,2470
2007,Број,M,2558
2008,Број,M,2539
2009,Број,M,2641
2010,Број,M,2628
2011,Број,M,2699
2012,Број,M,2732
2013,Број,M,2804
2014,Број,M,2865
2015,Број,M,2859
2016,Број,M,2856
2017,Број,M,2829
2018,Број,M,2865
2019,Број,M,2898
2003,Број,Ж,3106
2004,Број,Ж,3217
2005,Број,Ж,3315
2006,Број,Ж,3462
2007,Број,Ж,3624
2008,Број,Ж,3736
2009,Број,Ж,3852
2010,Број,Ж,4037
2011,Број,Ж,4182
2012,Број,Ж,4294
2013,Број,Ж,4407
2014,Број,Ж,4561
2015,Број,Ж,4554
2016,Број,Ж,4597
2017,Број,Ж,4586
2018,Број,Ж,4734
2019,Број,Ж,4893
