Year,UNIT_MEASURE,Value
2007,Number,1189
2008,Number,1215
2009,Number,1241
2010,Number,1229
2011,Number,1229
2012,Number,1261
2013,Number,1149
2014,Number,1113
2015,Number,1091
2016,Number,1099
2017,Number,1056
2018,Number,1068
2019,Number,1062
