Year,UNIT_MEASURE,Spol,Value
2011,Broj,Oba spola,2861
2012,Broj,Oba spola,3156
2013,Broj,Oba spola,3228
2014,Broj,Oba spola,3534
2015,Broj,Oba spola,3780
2016,Broj,Oba spola,4453
2017,Broj,Oba spola,4884
2018,Broj,Oba spola,5663
2019,Broj,Oba spola,6076
2020,Broj,Oba spola,5688
2021,Broj,Oba spola,7799
2022,Broj,Oba spola,9356
2023,Broj,Oba spola,10251
2011,Broj,M,1528
2012,Broj,M,1616
2013,Broj,M,1719
2014,Broj,M,1808
2015,Broj,M,2009
2016,Broj,M,2403
2017,Broj,M,2535
2018,Broj,M,2948
2019,Broj,M,3137
2020,Broj,M,2820
2021,Broj,M,4116
2022,Broj,M,4992
2023,Broj,M,5351
2011,Broj,Ž,1333
2012,Broj,Ž,1540
2013,Broj,Ž,1509
2014,Broj,Ž,1726
2015,Broj,Ž,1771
2016,Broj,Ž,2050
2017,Broj,Ž,2349
2018,Broj,Ž,2715
2019,Broj,Ž,2939
2020,Broj,Ž,2868
2021,Broj,Ž,3683
2022,Broj,Ž,4364
2023,Broj,Ž,4900
