Year,UNIT_MEASURE,Spol,Value
2011,Broj,Oba spola,12773
2012,Broj,Oba spola,13043
2013,Broj,Oba spola,13037
2014,Broj,Oba spola,12774
2015,Broj,Oba spola,12859
2016,Broj,Oba spola,12652
2017,Broj,Oba spola,12591
2018,Broj,Oba spola,12551
2019,Broj,Oba spola,12716
2020,Broj,Oba spola,12735
2021,Broj,Oba spola,12840
2011,Broj,M,5413
2012,Broj,M,5404
2013,Broj,M,5350
2014,Broj,M,5172
2015,Broj,M,5163
2016,Broj,M,4999
2017,Broj,M,4870
2018,Broj,M,4815
2019,Broj,M,4888
2020,Broj,M,4814
2021,Broj,M,4857
2011,Broj,Ž,7360
2012,Broj,Ž,7639
2013,Broj,Ž,7687
2014,Broj,Ž,7602
2015,Broj,Ž,7696
2016,Broj,Ž,7653
2017,Broj,Ž,7721
2018,Broj,Ž,7736
2019,Broj,Ž,7828
2020,Broj,Ž,7921
2021,Broj,Ž,7983
