Year,UNIT_MEASURE,Spol,Value
2011,Broj,Oba spola,316657
2012,Broj,Oba spola,304881
2013,Broj,Oba spola,302133
2014,Broj,Oba spola,296819
2015,Broj,Oba spola,291342
2016,Broj,Oba spola,287729
2017,Broj,Oba spola,282946
2018,Broj,Oba spola,280018
2019,Broj,Oba spola,274034
2020,Broj,Oba spola,268059
2021,Broj,Oba spola,264802
2022,Broj,Oba spola,260337
2011,Broj,M,162596
2012,Broj,M,156296
2013,Broj,M,154895
2014,Broj,M,152363
2015,Broj,M,149888
2016,Broj,M,148250
2017,Broj,M,145441
2018,Broj,M,143837
2019,Broj,M,140792
2020,Broj,M,137540
2021,Broj,M,136347
2022,Broj,M,133629
2011,Broj,Ž,154061
2012,Broj,Ž,148585
2013,Broj,Ž,147238
2014,Broj,Ž,144456
2015,Broj,Ž,141454
2016,Broj,Ž,139479
2017,Broj,Ž,137505
2018,Broj,Ž,136181
2019,Broj,Ž,133242
2020,Broj,Ž,130519
2021,Broj,Ž,128455
2022,Broj,Ž,126708
