Year,UNIT_MEASURE,Spol,Value
2011,Broj,Oba spola,298
2012,Broj,Oba spola,325
2013,Broj,Oba spola,611
2014,Broj,Oba spola,791
2015,Broj,Oba spola,825
2016,Broj,Oba spola,859
2017,Broj,Oba spola,874
2018,Broj,Oba spola,826
2019,Broj,Oba spola,1128
2020,Broj,Oba spola,1003
2021,Broj,Oba spola,984
2022,Broj,Oba spola,1089
2023,Broj,Oba spola,1015
2011,Broj,M,82
2012,Broj,M,100
2013,Broj,M,181
2014,Broj,M,247
2015,Broj,M,218
2016,Broj,M,234
2017,Broj,M,273
2018,Broj,M,249
2019,Broj,M,398
2020,Broj,M,346
2021,Broj,M,298
2022,Broj,M,300
2023,Broj,M,271
2011,Broj,Ž,216
2012,Broj,Ž,225
2013,Broj,Ž,430
2014,Broj,Ž,544
2015,Broj,Ž,607
2016,Broj,Ž,625
2017,Broj,Ž,601
2018,Broj,Ž,577
2019,Broj,Ž,730
2020,Broj,Ž,657
2021,Broj,Ž,686
2022,Broj,Ž,789
2023,Broj,Ž,744
