Year,UNIT_MEASURE,Value
2009,Broj,174.96
2010,Broj,159.72
2011,Broj,217.5
2012,Broj,226.17
2013,Broj,240.79
2014,Broj,239.88
2015,Broj,249.0
2016,Broj,255.3
2017,Broj,267.02
2018,Broj,267.27
