Year,UNIT_MEASURE,Spol,Value
2010,Broj,Oba spola,50567
2011,Broj,Oba spola,41834
2012,Broj,Oba spola,33672
2013,Broj,Oba spola,36993
2014,Broj,Oba spola,36434
2015,Broj,Oba spola,36126
2016,Broj,Oba spola,35694
2017,Broj,Oba spola,32144
2018,Broj,Oba spola,31728
2019,Broj,Oba spola,30463
2020,Broj,Oba spola,29633
2010,Broj,M,25977
2011,Broj,M,21761
2012,Broj,M,17181
2013,Broj,M,18730
2014,Broj,M,18662
2015,Broj,M,18441
2016,Broj,M,18266
2017,Broj,M,16159
2018,Broj,M,16244
2019,Broj,M,15564
2020,Broj,M,15135
2010,Broj,Ž,24590
2011,Broj,Ž,20073
2012,Broj,Ž,16491
2013,Broj,Ž,18263
2014,Broj,Ž,17772
2015,Broj,Ž,17685
2016,Broj,Ž,17428
2017,Broj,Ž,15985
2018,Broj,Ž,15484
2019,Broj,Ž,14899
2020,Broj,Ž,14498
