Year,UNIT_MEASURE,Spol,Value
2011,Broj,Oba spola,24605
2012,Broj,Oba spola,24227
2013,Broj,Oba spola,24476
2014,Broj,Oba spola,24106
2015,Broj,Oba spola,23515
2016,Broj,Oba spola,23824
2017,Broj,Oba spola,23978
2018,Broj,Oba spola,24175
2019,Broj,Oba spola,24361
2020,Broj,Oba spola,24548
2021,Broj,Oba spola,24601
2022,Broj,Oba spola,24080
2023,Broj,Oba spola,24343
2024,Broj,Oba spola,24422
2011,Broj,M,7459
2012,Broj,M,7177
2013,Broj,M,7161
2014,Broj,M,6971
2015,Broj,M,6737
2016,Broj,M,6779
2017,Broj,M,6725
2018,Broj,M,6648
2019,Broj,M,6548
2020,Broj,M,6530
2021,Broj,M,6444
2022,Broj,M,6313
2023,Broj,M,6177
2024,Broj,M,6089
2011,Broj,Ž,17146
2012,Broj,Ž,17050
2013,Broj,Ž,17315
2014,Broj,Ž,17135
2015,Broj,Ž,16778
2016,Broj,Ž,17045
2017,Broj,Ž,17253
2018,Broj,Ž,17527
2019,Broj,Ž,17813
2020,Broj,Ž,18018
2021,Broj,Ž,18157
2022,Broj,Ž,17767
2023,Broj,Ž,18166
2024,Broj,Ž,18333
