Year,UNIT_MEASURE,Пол,Value
2011,Број,Оба пола,17724
2012,Број,Оба пола,18040
2013,Број,Оба пола,18007
2014,Број,Оба пола,16131
2015,Број,Оба пола,15149
2016,Број,Оба пола,14407
2017,Број,Оба пола,13709
2018,Број,Оба пола,13394
2019,Број,Оба пола,13053
2020,Број,Оба пола,12288
2011,Број,M,6984
2012,Број,M,7168
2013,Број,M,7248
2014,Број,M,6554
2015,Број,M,6382
2016,Број,M,6062
2017,Број,M,5845
2018,Број,M,5571
2019,Број,M,5302
2020,Број,M,4977
2011,Број,Ж,10740
2012,Број,Ж,10872
2013,Број,Ж,10759
2014,Број,Ж,9577
2015,Број,Ж,8767
2016,Број,Ж,8345
2017,Број,Ж,7864
2018,Број,Ж,7823
2019,Број,Ж,7751
2020,Број,Ж,7311
